id,order_id,sku
c3f54804-6f32-40c8-9e53-867b81f5cebc,4c0c65ab-e07e-4452-9a44-846e88a39836,BEV-004
e3fd759a-9dd1-458a-829a-4b43b0867f24,4c0c65ab-e07e-4452-9a44-846e88a39836,BEV-002
f8d3fdef-7cb6-4267-9de8-10582f840b90,4c0c65ab-e07e-4452-9a44-846e88a39836,JAF-001
b106ff0d-0500-4156-a778-a80a6950a3a9,4c0c65ab-e07e-4452-9a44-846e88a39836,JAF-003
38fddc04-f683-49f0-a818-65fbf2f380dc,cce665e2-0543-40a6-948a-ba174473a12f,BEV-001
d8f02d31-4097-49b9-a829-7fda150ff338,3112c384-833f-4ce3-a5b4-d1ceae237e51,JAF-003
89085d8f-c1f4-4368-a009-1dbec0d1dff3,3112c384-833f-4ce3-a5b4-d1ceae237e51,JAF-003
9b201a6f-215a-45a1-a20a-33fbef8f7b97,72f765ff-c135-4e65-8457-8084af365814,BEV-002
f4fa6712-f43c-46f9-8709-e67d7268196d,09b20fa5-4f49-4dc7-9180-40680b67ae24,BEV-003
8da5db0c-c82c-4942-88d0-79115a5a147c,09b20fa5-4f49-4dc7-9180-40680b67ae24,BEV-002
e56790a1-0b9b-4014-b500-1c1235e3554b,09b20fa5-4f49-4dc7-9180-40680b67ae24,BEV-004
246ed4f8-9a9e-48e2-96e5-910f997acb3a,09b20fa5-4f49-4dc7-9180-40680b67ae24,JAF-004
fe3579ce-5e4a-401a-8340-3013a185c8d2,09b20fa5-4f49-4dc7-9180-40680b67ae24,JAF-002
15369de4-91da-4f18-bdf7-893ed6b30096,09b20fa5-4f49-4dc7-9180-40680b67ae24,JAF-005
18cab091-c7f5-4223-a078-6443277202eb,61587fb5-984a-4711-b316-dbf534c1cc29,BEV-004
7971a773-0491-4a5c-b5b0-0b9bc0250756,f56aeeb8-50e6-43bb-b052-7ede1464fd5f,BEV-004
bcb81fbc-08e0-4e45-9602-d96c30ac34aa,f56aeeb8-50e6-43bb-b052-7ede1464fd5f,JAF-003
ef20b4d4-1849-4392-856d-403b0bb8204a,d85ea74b-8781-4499-97f8-8ee4d476e32b,BEV-001
cbe31e7e-9206-4cb0-80d2-6b00b58974fe,79f16c25-d06b-46ba-ac07-ac906746e220,BEV-001
737f1b76-eed5-499d-9c80-cba71431825d,cbc40ea3-04b7-4d95-b8c4-e501662cc974,BEV-001
835acad8-00a6-4426-b93f-7bd63016e80e,071c9bd5-6e9a-41e9-821a-53edff3c94d8,BEV-001
20fe9aa9-9785-4232-92fc-f20c5021b9e0,071c9bd5-6e9a-41e9-821a-53edff3c94d8,BEV-005
0bf82043-80a9-4c45-8b90-f785ed7221dd,071c9bd5-6e9a-41e9-821a-53edff3c94d8,JAF-002
6bb48d5b-5cef-4362-acfe-dd405b461d07,071c9bd5-6e9a-41e9-821a-53edff3c94d8,JAF-001
3c013879-8053-437d-96d1-ea28617f014e,2d158531-dcc3-4612-bf6b-50cc23b251dc,BEV-005
26f90fbc-e132-47a1-8272-732066248682,2d158531-dcc3-4612-bf6b-50cc23b251dc,JAF-004
65010fa7-2d64-4871-97e2-b4880404d442,89665e80-d89c-474a-98d7-a35f1e8d491b,BEV-002
930c6d3d-640c-4ee6-90b7-fa56d172d1e2,70c8ec7c-df01-4ee9-98ee-4bf512a707fe,BEV-003
8b9cd55f-d4a0-4e48-8b13-28f1c30c1000,70c8ec7c-df01-4ee9-98ee-4bf512a707fe,JAF-001
8e1220d5-15c7-4fdc-9cf8-57cca0149ada,9dd69888-f3d4-483c-b8e4-067f8505ab9e,JAF-005
f4b0e8bb-a31e-4a21-89e1-84d354f63a97,123f938c-6e28-4f42-add5-2dc594dea161,BEV-005
ff6043f6-738c-4e68-95e8-1c6942329c78,123f938c-6e28-4f42-add5-2dc594dea161,JAF-001
4d54a8a6-9cb7-47d1-93cc-79d1fd24642d,87afcc74-8bf0-4266-b40e-9bb7d3ed78da,BEV-003
f4e8cbd2-8be1-4a17-89da-84127494f13f,87afcc74-8bf0-4266-b40e-9bb7d3ed78da,JAF-005
a1693e64-04f4-4222-9ae0-7ceff209bfb6,87afcc74-8bf0-4266-b40e-9bb7d3ed78da,JAF-002
66c31e3c-5c91-4f4d-b841-b3c266866f65,87afcc74-8bf0-4266-b40e-9bb7d3ed78da,JAF-003
59ea57c2-8ede-4c54-b70d-13140ba21b58,afd3c71d-2f36-497c-9d6e-19a4c7e0c29c,BEV-005
1bb830a9-aee6-4afc-819d-4e5c1aa43f9f,afd3c71d-2f36-497c-9d6e-19a4c7e0c29c,JAF-004
0e48dc65-9ad0-4d1f-a3c9-ab9c48d7cb43,f0ed84bf-c9c2-4e73-a45b-d16126c259f9,BEV-004
fa632db5-ea56-47e5-b710-d2dcad45fc80,f0ed84bf-c9c2-4e73-a45b-d16126c259f9,BEV-002
712928d8-807a-4c0d-92a2-ef84ad77ff14,f0ed84bf-c9c2-4e73-a45b-d16126c259f9,BEV-005
cd7391d9-f2a7-4dc1-a1d0-fce8293183ac,f0ed84bf-c9c2-4e73-a45b-d16126c259f9,BEV-001
78db13b3-2326-4b75-b67c-60e237acb966,f0ed84bf-c9c2-4e73-a45b-d16126c259f9,JAF-001
