id,user_id,tweeted_at,content
fea35b34-9337-4a2f-ae64-363566ce4fbb,6beb1871-cdac-40eb-83c5-93cf07cfd335,2018-09-01T09:54:29.081042,"Jaffles from the Jaffle Shop are awesome! Ordered a for richer or pourover , a chai and mighty, a nutellaphone who dis?, and a the krautback."
cac44a19-8e61-4084-b74b-da9c28a1677d,b39517b1-8745-4ada-9ff0-6121371d8716,2018-09-01T14:11:12.498148,Jaffles from the Jaffle Shop are the best! Ordered a tangaroo.
dc5797ab-ab15-4d5d-88ae-bcf31fbefb92,33431b4d-1e80-4fb7-afbb-b5256a9db9f6,2018-09-01T08:26:58.393433,Jaffle Shop again. Ordered a the krautback and a the krautback. This place is inedible.
a5f57c83-9f07-41a4-938a-5b87bdea222d,a7d0af49-f564-4665-a6de-1b44090cd55d,2018-09-01T13:58:50.030247,Jaffle Shop again. Ordered a chai and mighty. This place is disgusting.
3e387108-8d80-4d84-a996-bd715ad1f45f,f65374bd-9234-4e7d-802d-744e87f8a8f1,2018-09-01T11:52:55.280211,"Jaffle Shop again. Ordered a vanilla ice, a chai and mighty, a for richer or pourover , a flame impala, a doctor stew, and a mel-bun. This place is awful."
d22bd222-d344-4c83-a7ac-81c7f157112e,0343f390-957d-4502-9841-41d79891467a,2018-09-01T08:57:33.656362,Jaffle Shop again. Ordered a tangaroo. This place is gross.
cb2f8406-2492-4784-960b-6a0c257191ad,51a80766-1c85-41b4-9371-45e9fa6437b5,2018-09-01T13:45:13.686418,Jaffles from the Jaffle Shop are delicious! Ordered a tangaroo.
c43618cb-4a48-4854-a7e5-1d63065a5a44,0fc87cdc-6b03-4197-9f40-eefc48ca200e,2018-09-01T13:26:15.081321,"Jaffles from the Jaffle Shop are amazing! Ordered a tangaroo, a adele-ade, a doctor stew, and a nutellaphone who dis?."
e272fff1-dd66-4024-bfa3-dacfa4a829ea,4d11d57e-cb6e-4fe8-9a39-d120f740be48,2018-09-01T11:36:11.328294,"Jaffle Shop again. Ordered a for richer or pourover , a chai and mighty, a adele-ade, a tangaroo, a nutellaphone who dis?, a mel-bun, a nutellaphone who dis?, and a doctor stew. This place is the worst."
fbe8c7e2-6497-4425-a771-d0ff5ae5490e,faf61da8-6f5e-4326-8115-dea784935ca6,2018-09-01T14:59:47.160662,Jaffle Shop again. Ordered a chai and mighty. This place is awful.
abb62552-4077-478c-93ea-8452773b9605,b598c741-4f8c-4ef2-944a-68cadfc8a7be,2018-09-02T12:18:54.708912,Jaffle Shop again. Ordered a adele-ade. This place is the worst.
e5f45bf0-83f7-45b3-a326-919955e073a7,a7d0af49-f564-4665-a6de-1b44090cd55d,2018-09-02T13:50:13.688168,Jaffle Shop again. Ordered a vanilla ice. This place is the worst.
3f6e215e-970d-459a-abb1-e2c88dace29f,66701b9b-0c57-4a78-8090-9271506a9c0f,2018-09-02T14:06:48.145061,Jaffle Shop again. Ordered a adele-ade. This place is awful.
a093261b-b5ca-4a86-b788-7c46f6bb39ae,0fc87cdc-6b03-4197-9f40-eefc48ca200e,2018-09-02T11:43:09.415305,"Jaffles from the Jaffle Shop are amazing! Ordered a adele-ade, a for richer or pourover , a the krautback, and a doctor stew."
335a5504-69a9-4caa-85f2-c2a768da1de5,ad7c8905-cc9a-4bbd-891b-2a1ee312db4e,2018-09-02T12:32:14.864123,Jaffle Shop again. Ordered a adele-ade and a doctor stew. This place is gross.
08293ab2-e6c7-43d9-b789-21f902ff9e83,d4818026-eb5a-4e3c-a116-b3ce5375ebad,2018-09-02T10:42:48.014356,Jaffle Shop again. Ordered a for richer or pourover . This place is disgusting.
0c1ba9e1-1d70-4b3a-bb11-871c15e8afcc,c3575699-374a-4fbc-b945-517554c27b25,2018-09-02T12:51:02.355540,"Jaffles from the Jaffle Shop are awesome! Ordered a for richer or pourover , a tangaroo, a nutellaphone who dis?, and a flame impala."
b3e7fa24-c5c6-4ccf-a344-6150580474b7,4d11d57e-cb6e-4fe8-9a39-d120f740be48,2018-09-02T12:54:04.848025,"Jaffle Shop again. Ordered a chai and mighty, a adele-ade, a tangaroo, a vanilla ice, a doctor stew, a nutellaphone who dis?, a the krautback, and a mel-bun. This place is gross."
3601101c-8433-47ae-8269-6d8b879d92b4,c1d547e7-0452-4158-8822-45f39272c430,2018-09-02T09:12:52.289004,"Jaffle Shop again. Ordered a chai and mighty, a for richer or pourover , a adele-ade, a the krautback, a doctor stew, and a doctor stew. This place is my least favorite."
d778aebd-57ef-4e59-91bc-33815f72462d,0215a6ba-2f6f-40e4-bfd0-40216c56b5fe,2018-09-02T12:37:06.103644,"Jaffles from the Jaffle Shop are awesome! Ordered a for richer or pourover , a chai and mighty, a tangaroo, a nutellaphone who dis?, a mel-bun, and a nutellaphone who dis?."
